,pdb1,pdb2,rmsd_h12,rmsd_l12,engineered_1,engineered_2
249,1ad0,7jxc,8.28340420094601,7.853232533307084,True,True
250,4x0k,4ygv,5.271914502297173,2.2957858064392536,True,True
251,4hqq,6mtr,8.414143018416967,4.884457826606556,True,True
252,2a9m,3w9d,7.289974788836721,7.277850879910715,True,True
253,4odh,5bk5,8.040868814317424,12.618293221410898,True,True
254,4llv,5v7u,6.160556472810512,9.331747805550451,True,True
255,1om3,6dcv,2.947924778220583,14.877861396468283,True,True
256,6xul,7dc7,4.592561814873862,3.3447933807928965,True,True
257,5ezi,5jo5,8.374231541237084,6.362317224000926,True,True
258,4f58,4llv,4.0746119926472755,5.098586597883144,False,True
259,2agj,6u9u,4.04983609091544,3.971853116521814,False,True
260,3dgg,4hqq,1.4383449665069161,5.846295960681274,True,True
261,4yhy,6j9o,7.067789086986467,12.639902751542778,True,True
262,6b0w,6mtr,5.350559030007402,7.697820788944254,True,True
263,5ifh,6rlm,5.140793215332873,14.920354573573823,True,True
264,4odh,6btj,2.4211428832946074,4.297668214535631,True,True
265,4gw4,6b0w,5.386767324382152,14.678616898780888,True,True
266,2pr4,6xul,4.377295045351923,6.800609606176861,False,True
267,3l7f,5f7e,3.1435704859905123,7.482700340204045,True,True
268,3qhz,5ty6,15.69094633459053,8.274156312302528,True,True
269,5itb,6anp,10.331988687294185,2.3508151533853785,True,True
270,3qrg,6azx,4.285098749044472,0.763938066662572,True,True
271,5jxa,6yxl,12.679752945764559,8.48086587972686,True,False
272,4nwu,5tgb,7.178381784153201,16.462029119795524,True,True
273,5ibt,7cu7,8.262337897899268,0.671192115359032,True,True
274,2f5a,6ss0,12.383258607894772,5.044627949942083,False,False
275,1rzi,5aze,6.151307105125097,12.17111397095442,True,True
276,2zkh,5ewi,9.973170845761643,10.782229540523574,True,True
277,3dif,6w73,5.7017892271308135,0.9873494101976104,True,True
278,6rcq,6wyr,9.286397877911273,3.2348522913898305,True,True
279,2pr4,5i1j,7.6428153813319994,1.3665927906945823,False,True
280,3qo1,3x3g,8.28091827165774,11.445977494492231,False,True
281,3inu,4lrn,17.648746414405757,15.401083998889067,True,True
282,3u6r,4r7d,8.815825115151588,6.422552021871786,True,True
283,1opg,3qos,6.502607950372681,12.98747077366473,False,True
284,7dc7,7mfb,10.854523646560912,9.344956495217653,True,True
285,4od3,7lyw,9.798863833214288,6.226146050898047,True,True
286,5grv,5i1h,4.873122284611915,5.5259837996911605,True,True
287,4nwu,6xoc,7.261041699542842,15.10517588070997,True,True
288,3l7f,4ptt,7.274449882551258,3.4414750120585715,True,True
289,3dgg,4hk0,1.921459622286694,10.52273317866565,True,True
290,5i15,7dc7,4.204998740106455,6.677253868300152,True,True
291,5wcd,6oc7,8.909257496594483,7.817151621021271,True,True
292,4r7d,6wor,16.700553298281765,3.078057258265547,True,True
293,1fh5,3oaz,19.537014049458787,1.5283017033899144,False,True
294,5i1h,6ell,7.129142915592133,3.290975084857557,True,True
295,4qf1,6q1k,9.6279668722815,6.154281142526447,True,True
296,4hk3,4ygv,7.033293522485572,12.238155607016386,True,True
297,3tcl,4yhl,10.50216167759494,9.584648064254889,True,True
298,3qeh,7lsi,9.430143915010655,12.561989515647356,False,True
299,4fql,5vz1,9.091116779410273,19.127790469545143,True,True
300,6ele,6tkc,5.843274337258927,0.7201491072368212,True,False
301,4npy,4od1,10.599330204369048,6.151386102997343,True,True
302,5tjd,6j9o,11.132714495182654,5.862442258618241,True,True
303,2agj,5jo5,6.727475148597726,7.772770138395829,False,True
304,4fq2,6tcq,10.341268773402517,17.30577228469459,True,True
305,6o3d,6tkf,5.641672383713561,4.233670355404508,True,False
306,3u4b,5u4r,4.277260230348979,3.3221764225505814,True,True
307,5f6h,6z3k,5.2239569364820335,4.999410355277593,True,True
308,3inu,6p9j,4.828223755057987,13.276977908375917,True,True
309,2zkh,6dla,10.24957611547302,5.056704485931942,True,True
310,6tkd,6wrp,6.421121116029408,11.338343853055049,False,True
311,3m8o,5fhb,8.275616126043124,15.003379518659528,False,True
312,5weq,7cu7,9.126732979703773,6.093876217592243,True,True
313,2f5a,5ubz,10.622950445703632,6.361309774056926,False,True
314,4qf1,6emj,4.456354585466269,7.581179900372114,True,True
315,3inu,6tke,6.704148341174198,12.934520953482602,True,False
316,3naa,6rco,4.478811989349128,5.689889338809433,True,True
317,5n4j,7o4y,12.591474127485034,5.084213775564344,True,True
318,5drx,5tf1,7.961705219360988,14.238776290989001,True,True
319,2pr4,6w73,4.430943880470052,3.6440578799625922,False,True
320,2zkh,6azx,7.384342797750352,11.412297869152548,True,True
321,4fnl,6nis,15.646472745478452,6.251874305160744,True,True
